REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19511,30.2624,50.3759,433,0,0,,,,0
19512,29.54136,50.3555,433,0,0,,,,0
19513,31.0376,50.3323,434,0,0,,,,0
19514,30.74498,50.3211,434,0,0,,,,0
19515,29.3224,50.3014,435,0,0,,,,0
19516,31.19146,50.2865,435,0,0,,,,0
19517,29.75982,50.2383,436,4.0999999,0.4,,,,0
19518,29.15096,50.2244,436,4.0999999,0.4,,,,0
19519,31.04046,50.2145,438,0,0,,,,0
19520,29.69723,50.193,440,0,0,,,,0
19521,29.81723,50.1804,440,0,0,,,,0
19522,30.89299,50.1538,440,0,0,,,,0
19523,30.18027,50.1446,442,0,0,,,,0
19524,30.39727,50.1319,443,0,0,,,,0
19525,30.95555,50.1248,444,0,0,,,,0
19526,29.63798,50.1052,446,4.5,0.6,,,,0
19527,30.38628,50.0935,447,0,0,,,,0
19528,29.28662,50.0716,448,0,0,,,,0
19529,29.0455,50.0559,448,0,0,,,,0
19530,29.6434,49.4322,449,0,0,,,,0
19531,29.68796,49.4282,450,0,0,,,,0
19532,29.93474,49.4245,450,0,0,,,,0
19533,30.51522,49.409,450,0,0,,,,0
19534,30.57139,49.3953,452,0,0,,,,0
19535,30.64417,49.3856,452,0,0,,,,0
19536,29.62711,49.3802,454,0,0,,,,0
19537,30.08446,49.3749,454,0,0,,,,0
19538,31.04681,34.7102,456,13,0.6,7,5.5,0.4,0
19539,29.98561,34.7075,458,0,0,7,5.5,0.4,0
19540,29.08392,34.7037,462,0,0,7,5.5,0.4,0
19541,29.64791,34.701,462,0,0,7,5.5,0.4,0
19542,29.95928,34.6142,464,0,0,7,5.5,0.4,0
19543,29.88164,34.6111,465,0,0,7,5.5,0.4,0
19544,30.51057,34.605,467,0,0,7,5.5,0.4,0
19545,30.49823,34.5945,468,0,0,7,5.5,0.4,0
19546,30.62185,34.5883,470,0,0,7,5.5,0.4,0
19547,30.76278,34.5686,471,0,0,7,5.5,0.4,0
19548,29.52038,34.5641,471,0,0,7,5.5,0.4,0
19549,30.40051,34.5557,473,0,0,7,5.5,0.4,0
19550,30.75729,34.5481,476,6,0.3,7,5.5,0.4,0
19551,29.25762,34.5441,479,0,0,7,5.5,0.4,0
19552,30.79854,34.5299,479,0,0,,,,0
19553,30.39093,34.5193,480,0,0,7,5.5,0.4,0
19554,29.50469,32.9985,482,0,0,7,5.5,0.4,0
19555,30.14619,32.9927,483,0,0,7,5.5,0.4,0
19556,30.42956,32.9844,485,0,0,7,5.5,0.4,0
19557,29.81472,32.9742,485,0,0,7,5.5,0.4,0
19558,30.748,32.9719,487,0,0,7,5.5,0.4,0
19559,30.71094,32.9658,487,0,0,7,5.5,0.4,0
19560,31.18177,32.9639,489,0,0,7,5.5,0.4,0
19561,29.36095,32.9465,492,0,0,7,5.5,0.4,0
19562,29.77936,32.9403,495,0,0,7,5.5,0.4,0
19563,29.40843,32.9308,497,0,0,7,5.5,0.4,0
19564,30.83006,32.9125,498,0,0,7,5.5,0.4,0
19565,30.82637,32.8996,499,0,0,7,5.5,0.4,0
